Row.names;Etmopterus_spinax;Acanthurus_monroviae;Aetomylaeus_bovinus;Aidablennius_sphynx;Anthias_anthias;Aphia_minuta;Apogon_imberbis;Argentina_sphyraena;Arnoglossus_laterna;Atherina_boyeri;Balistes_capriscus;Bathytoshia_lata;Belone_belone;Benthosema_glaciale;Blennius_ocellaris;Boops_boops;Bothus_podas;Buenia_affinis;Callionymus_maculatus;Cepola_macrophthalma;Ceratoscopelus_maderensis;Chauliodus_sloani;Chelon_auratus;Chelon_labrosus;Chelon_ramada;Chlorophthalmus_agassizi;Chromis_chromis;Citharus_linguatula;Conger_conger;Corcyrogobius_liechtensteini;Coris_julis;Coryphaena_hippurus;Crystallogobius_linearis;Ctenolabrus_rupestris;Dactylopterus_volitans;Dasyatis_pastinaca;Dasyatis_tortonesei;Deltentosteus_collonianus;Dicentrarchus_labrax;Diplodus_annularis;Diplodus_cervinus;Diplodus_puntazzo;Diplodus_sargus;Diplodus_vulgaris;Echiichthys_vipera;Encrasicholina_punctifer;Engraulis_encrasicolus;Epinephelus_marginatus;Euthynnus_alletteratus;Gaidropsarus_mediterraneus;Gaidropsarus_vulgaris;Galeus_melastomus;Gammogobius_steinitzi;Gobius_ater;Gobius_bucchichi;Gobius_cobitis;Gobius_cruentatus;Gobius_geniporus;Gobius_niger;Gobius_paganellus;Gobius_xanthocephalus;Gymnammodytes_semisquamatus;Helicolenus_dactylopterus;Hippocampus_hippocampus;Labrus_mixtus;Lampanyctus_crocodilus;Lebetus_guilleti;Lepadogaster_candolii;Lepadogaster_lepadogaster;Lesueurigobius_friesii;Lesueurigobius_suerii;Lipophrys_trigloides;Lithognathus_mormyrus;Lophius_budegassa;Lophius_piscatorius;Macroramphosus_scolopax;Maurolicus_muelleri;Merluccius_merluccius;Micromesistius_poutassou;Millerigobius_macrocephalus;Mobula_mobular;Mola_mola;Mugil_cephalus;Mullus_barbatus;Mullus_surmuletus;Muraena_helena;Mustelus_mustelus;Myctophum_punctatum;Myliobatis_aquila;Nerophis_maculatus;Notoscopelus_elongatus;Oblada_melanura;Odondebuenia_balearica;Oedalechilus_labeo;Pagellus_acarne;Pagellus_bogaraveo;Pagellus_erythrinus;Parablennius_gattorugine;Parablennius_incognitus;Parablennius_pilicornis;Parablennius_rouxi;Pegusa_nasuta;Pomadasys_incisus;Pomatomus_saltatrix;Pomatoschistus_microps;Pomatoschistus_minutus;Prionace_glauca;Pseudaphya_ferreri;Pteroplatytrygon_violacea;Raja_brachyura;Raja_undulata;Rostroraja_alba;Salaria_pavo;Sarda_sarda;Sardina_pilchardus;Sardinella_aurita;Sarpa_salpa;Schedophilus_medusophagus;Sciaena_umbra;Scomber_scombrus;Scorpaena_notata;Scorpaena_porcus;Scorpaena_scrofa;Scyliorhinus_canicula;Scyliorhinus_stellaris;Seriola_dumerili;Serranus_cabrilla;Serranus_hepatus;Serranus_scriba;Solea_senegalensis;Solea_solea;Sparus_aurata;Speleogobius_trigloides;Sphyraena_sphyraena;Sphyraena_viridensis;Spondyliosoma_cantharus;Sprattus_sprattus;Squatina_squatina;Symphodus_bailloni;Symphodus_ocellatus;Symphodus_tinca;Synchiropus_phaeton;Syngnathus_acus;Synodus_saurus;Thalassoma_pavo;Torpedo_marmorata;Trachinotus_ovatus;Trachinus_draco;Trachurus_picturatus;Trichiurus_lepturus;Tripterygion_delaisi;Tripterygion_melanurum;Tripterygion_tripteronotum;Uranoscopus_scaber;Xiphias_gladius;Xyrichtys_novacula;Zebrus_zebrus;Zeus_faber;Zosterisessor_ophiocephalus;Row.names.y;R;FD;LFI;Crypto;DP_B_ratio;CTI;Exo;RedList;Chondri;Trophic;Commercial;High_commerc;PD;Vulner;TopPred;Sharks;fhill;fdis;fric;feve;fnnd;IUCN_noweigths;Not_commerc;fide_PC1;fide_PC2;RedListp;Chondrip;Sharkp;Date;Country;Region;Site;Confinement;protection;protection_reglementation;least_dist_reserve;Time_start;Temporisation;duration;Volume_filtered;latitude_start_DD;longitude_start_DD;latitude_turn_DD;longitude_turn_DD;latitude_end_DD;longitude_end_DD;latitude_start_raw;longitude_start_raw;latitude_turn_raw;longitude_turn_raw;latitude_end_raw;longitude_end_raw;filter;mean_depth_transect;transect;method;depth;projet;Comments;Teleo;Mammifere;pkey;habitat_div;habitat_principal;declin_min;declin_mean;declin_max;cohesion_min;cohesion_mean;cohesion_max;min_bathy;mean_bathy;max_bathy;min_ag;mean_ag;max_ag;min_am;mean_am;max_am;min_aq;mean_aq;max_aq;min_co;mean_co;max_co;min_er;mean_er;max_er;min_in;mean_in;max_in;min_mo_ais;mean_mo_ais;max_mo_ais;min_mo_pp;mean_mo_pp;max_mo_pp;min_pe;mean_pe;max_pe;min_po;mean_po;max_po;min_re;mean_re;max_re;min_to;mean_to;max_to;min_tm;mean_tm;max_tm;dist_land;dist_ports;chloroDay;chloroWeek;chloroMonth;chloroYear;tempDay;tempWeek;tempMonth;tempYear;logport;logland
SPY180625;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;SPY180625;43;14;31;10;0,76;19,16617486;1;1;0;3,437209302;18;9;18,8334596;46,89076923;0;0;6,320304639;0,422926766;0,125113218;0,649523;0,193844035;1;25;-0,014653479;0,056845692;1;0;0;28/05/2020;France;PACA;calanques;Y;outside;;5;11:46;;00:30;30;43,23289;5,351098;;;43,21793;5,345229;43.23289;5.351098;;;43.21793;5.345229;0,2;6;coastal;surface transect;1;eRef;;;;SPY180625_calanques;7;Association de la matte morte de Posidonia oceanica;0;55,06312617;100;0;50,50589389;100;-24,56847763;-3,165304957;68,04248047;0;0;0;0,567994773;0,76958625;1;0;0;0;0,152082428;0,2765467;0,490091205;0;0,023591277;0,501598001;0;0;0;0;0;0;0;0,299159106;0,934179068;0;0,290977657;0,752401948;0,409770131;0,687467574;1;0;0,006597012;0,095874883;0,016665572;0,287231314;0,752401948;0,00000225;0,002478464;0,004806928;30,30452234;301155,8859;0,158609271;0,178295344;0,177116737;0,381287;18,76501846;18,99833107;17,54965973;17,596312;5,478791356;1,481507443
SPY180629;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;SPY180629;43;13;32;8;0,692307692;18,60537044;0;2;1;3,476744186;19;9;16,77024978;46,70166667;1;0;7,063291888;0,440973107;0,158213304;0,645012;0,208436754;3;24;-0,019713932;0,050114906;1;1;0;28/05/2020;France;PACA;calanques;Y;outside;;10;09:45;;00:30;30;43,26876;5,366971;;;43,27964;5,350406;43.26876;5.366971;;;43.27964;5.350406;0,2;3,5;coastal;surface transect;1;eRef;;;;SPY180629_calanques;7;Fonds meubles infralittoraux;0;36,46236155;100;0;64,15252806;100;-15,82670403;8,267441272;85,3434906;0;0;0;0,466646999;0,730931026;1;0;0;0;0,387133211;0,546246404;0,761064589;0;0,060073243;0,501598001;0;0,001127795;0,050892577;0;0,00000419;0,000951294;0;0,145056289;0,992235124;0;0,358248275;0,999777615;0,676012337;0,876766335;1;0;0;0;0;0,204144486;0,512565255;0;0,002332087;0,026944365;66,65736222;2727,965406;0,156108752;0,33041656;0,309749186;0,422003;18,98210335;19,01154709;17,7315731;17,534101;3,435838859;1,823848124
SPY181145;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;SPY181145;45;14;31;10;0,769230769;18,7353791;1;2,5;1;3,453333333;18;10;18,25968158;42,60571429;1;0;6,572856824;0,426020497;0,158830113;0,62849;0,201391789;3;27;-0,021559515;0,044322646;1;1;0;28/05/2020;France;PACA;calanques;Y;outside;;10;10:40;;00:30;30;43,27959;5,349854;;;43,26906;5,366901;43.27959;5.349854;;;43.26906;5.366901;0,2;5;coastal;surface transect;1;eRef;;;;SPY181145_calanques;7;Fonds meubles infralittoraux;0;33,39837022;100;0;65,82778612;100;-15,84482574;8,183792506;86,06668854;0;0;0;0,457490146;0,723202096;1;0;0;0;0,379036605;0,539941637;0,756248772;0;0,058280801;0,501598001;0;0,001225214;0,052472331;0;0,0000046;0,000951294;0;0,156788958;0,992235124;0;0,365478396;0,999860466;0,672324359;0,876028807;1;0;0;0;0;0,197969864;0,501598001;0;0,002875316;0,030258996;45,69740902;1906,635529;0,156108752;0,33041656;0,309749186;0,422003;18,96979332;19,0024147;17,72099495;17,534101;3,280267682;1,659891577
SPY181699;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;SPY181699;39;11;28;9;0,6;18,67852108;0;0;0;3,407692308;15;9;16,85228971;45,39538462;0;0;6,306724769;0,430797502;0,111375791;0,638836;0,192784921;0;24;-0,015214846;0,062003658;0;0;0;28/05/2020;France;PACA;calanques;Y;reserve;ZNP RIOU / PODESTAT_Coeur marin du Parc National des Calanques;0;15:45;;00:30;30;43,17481;5,3979;;;43,17978;5,376402;43.17481;5.3979;;;43.17978;5.376402;0,2;13;coastal;surface transect;1;eRef;;;;SPY181699_calanques;5;Fonds meubles circalittoraux;0;0;0;0;80,0056679;100;-77,34379578;-26,37395271;0;0;0;0;0;0,046923401;0,243208453;0;0;0;0;0,00766437;0,112850122;0;0;0;0;0;0;0;0;0;0;0,054698716;0,603121221;0;0,063228883;0,704372108;0;0,002918007;0,074611507;0;0,036119115;0,221381485;0;0;0;0,001912954;0,007507742;0,016513282;41,02497843;1460,787749;0,170705602;0,211323604;0,177116737;0,381287;19,1573925;18,61785126;17,1599102;17,596312;3,164587118;1,613048361
SPY181700;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;SPY181700;47;13;36;9;0,548387097;18,75687211;1;1,5;1;3,529787234;19;10;20,30886298;46,00615385;2;0;6,874362459;0,415745678;0,156604823;0,630307;0,19974035;2;28;-0,005735024;0,043185776;1;1;0;28/05/2020;France;PACA;calanques;Y;outside;;5;11:46;;00:30;30;43,23289;5,351098;;;43,21793;5,345229;43.23289;5.351098;;;43.21793;5.345229;0,2;6;coastal;surface transect;1;eRef;;;;SPY181700_calanques;7;Association de la matte morte de Posidonia oceanica;0;55,06312617;100;0;50,50589389;100;-24,56847763;-3,165304957;68,04248047;0;0;0;0,567994773;0,76958625;1;0;0;0;0,152082428;0,2765467;0,490091205;0;0,023591277;0,501598001;0;0;0;0;0;0;0;0,299159106;0,934179068;0;0,290977657;0,752401948;0,409770131;0,687467574;1;0;0,006597012;0,095874883;0,016665572;0,287231314;0,752401948;0,00000225;0,002478464;0,004806928;30,30452234;1460,787749;0,158609271;0,178295344;0,177116737;0,381287;18,76501846;18,99833107;17,54965973;17,596312;3,164587118;1,481507443
SPY181701;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;SPY181701;43;13;33;9;0,62962963;19,01509108;0;2;0;3,476744186;16;8;18,37994725;49,9325;0;0;6,271445628;0,417713867;0,118431478;0,650021;0,185491195;3;27;-0,013446508;0,053271857;1;0;0;28/05/2020;France;PACA;calanques;Y;outside;;5;12:31;;00:30;30;43,21777;5,345276;;;43,23263;5,350735;43.21777;5.345276;;;43.23263;5.350735;0,2;6,5;coastal;surface transect;1;eRef;;;;SPY181701_calanques;7;Biocenose de l herbier a Posidonia oceanica;0;55,72320242;100;0;49,91522404;100;-25,12704277;-3,450536876;68,04248047;0;0;0;0,567994773;0,766914802;1;0;0;0;0,152557924;0,272653218;0,486364126;0;0,021301913;0,501598001;0;0;0;0;0;0;0;0,291303275;0,934179068;0;0,293948441;0,752401948;0,409770131;0,683422408;1;0;0,006696583;0,097167514;0,018361339;0,284557566;0,752401948;0,00000225;0,002489298;0,004992778;27,85786668;1529,001256;0,158609271;0,178295344;0,177116737;0,381287;18,76500702;18,99525642;17,54806709;17,596312;3,184407842;1,444947856
SPY181708;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;SPY181708;44;12;30;12;0,607142857;18,92699704;2;0,5;0;3,443181818;18;9;19,01195983;43,947;0;0;5,580148643;0,414927771;0,087227016;0,591544;0,156596771;1;26;-0,005354302;0,048647313;1;0;0;28/05/2020;France;PACA;calanques;Y;outside;;5;12:31;;00:30;30;43,21777;5,345276;;;43,23263;5,350735;43.21777;5.345276;;;43.23263;5.350735;0,2;6,5;coastal;surface transect;1;eRef;;;;SPY181708_calanques;7;Biocenose de l herbier a Posidonia oceanica;0;55,72320242;100;0;49,91522404;100;-25,12704277;-3,450536876;68,04248047;0;0;0;0,567994773;0,766914802;1;0;0;0;0,152557924;0,272653218;0,486364126;0;0,021301913;0,501598001;0;0;0;0;0;0;0;0,291303275;0,934179068;0;0,293948441;0,752401948;0,409770131;0,683422408;1;0;0,006696583;0,097167514;0,018361339;0,284557566;0,752401948;0,00000225;0,002489298;0,004992778;27,85786668;670,8639522;0,158609271;0,178295344;0,177116737;0,381287;18,76500702;18,99525642;17,54806709;17,596312;2,826634456;1,444947856
SPY181824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;SPY181824;39;11;29;8;0,666666667;18,78386844;0;2;0;3,412820513;15;8;16,05481766;47,92166667;0;0;6,455549077;0,438244161;0,121814166;0,663917;0,209169326;3;24;-0,019873252;0,060251471;1;0;0;28/05/2020;France;PACA;calanques;Y;reserve;ZNP RIOU / PODESTAT_Coeur marin du Parc National des Calanques;0;14:59;;00:30;30;43,1799;5,37238;;;43,17684;5,394168;43.1799;5.37238;;;43.17684;5.394168;0,2;12;coastal;surface transect;1;eRef;;;;SPY181824_calanques;5;Fonds meubles circalittoraux;0;0;0;0;78,00130396;100;-49,92733383;-23,78655253;0;0;0;0;0;0,04935842;0,243208453;0;0;0;0;0,007870357;0,112850122;0;0;0;0;0;0;0;0;0;0;0,05632506;0,603121221;0;0,027312602;0,699432373;0;0,002995494;0,074611507;0;0,035986184;0,205862343;0;0;0;0,001912954;0,007863292;0,016481902;67,44495301;1567,51698;0,170705602;0,211323604;0,177116737;0,381287;19,30205727;18,62190819;17,17474174;17,596312;3,195212254;1,828949456
SPY181828;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;SPY181828;38;11;28;8;0,695652174;19,09668999;0;0,5;0;3,463157895;15;8;17,34136682;42,54923077;0;0;6,059379472;0,427052069;0,113668277;0,678814;0,204916254;1;23;-0,025881882;0,060276391;1;0;0;28/05/2020;France;PACA;calanques;Y;reserve;ZNP RIOU / PODESTAT_Coeur marin du Parc National des Calanques;0;14:59;;00:30;30;43,1799;5,37238;;;43,17684;5,394168;43.1799;5.37238;;;43.17684;5.394168;0,2;12;coastal;surface transect;1;eRef;;;;SPY181828_calanques;5;Fonds meubles circalittoraux;0;0;0;0;78,00130396;100;-49,92733383;-23,78655253;0;0;0;0;0;0,04935842;0,243208453;0;0;0;0;0,007870357;0,112850122;0;0;0;0;0;0;0;0;0;0;0,05632506;0,603121221;0;0,027312602;0,699432373;0;0,002995494;0,074611507;0;0,035986184;0,205862343;0;0;0;0,001912954;0,007863292;0,016481902;67,44495301;165,9539829;0,170705602;0,211323604;0,177116737;0,381287;19,30205727;18,62190819;17,17474174;17,596312;2,21998768;1,828949456
